[2025-04-11 15:14:33,776: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:14:33,777: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:14:33,779: INFO: app]: ID card type selected: PAN
[2025-04-11 15:14:33,782: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:14:33,805: INFO: app]: Face image loaded.
[2025-04-11 15:14:33,824: INFO: app]: ID card image loaded.
[2025-04-11 15:14:33,842: INFO: preprocess]: contours are found at, (0, 0, 1112, 684)
[2025-04-11 15:14:33,851: INFO: app]: ID card ROI extracted.
[2025-04-11 15:14:34,306: INFO: preprocess]: Image saved successfully: data/02_intermediate_data/face_image.jpg
[2025-04-11 15:14:34,307: INFO: app]: Faces extracted and saved.
[2025-04-11 15:14:34,307: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
[2025-04-11 15:14:34,307: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/extacted_face.jpg
[2025-04-11 15:14:34,660: INFO: app]: Face verification status: successful.
[2025-04-11 15:14:34,660: INFO: ocr_engine]: Text Extraction Started...
[2025-04-11 15:14:34,662: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-04-11 15:14:37,725: INFO: ocr_engine]: Inside Try-Catch...
[2025-04-11 15:14:46,566: INFO: app]: Text extracted and information parsed from ID card.
[2025-04-11 15:15:40,842: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-04-11 15:15:40,848: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-04-11 15:15:40,945: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:15:40,946: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:15:40,948: INFO: app]: ID card type selected: PAN
[2025-04-11 15:15:40,949: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:15:53,824: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:15:53,825: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:15:53,828: INFO: app]: ID card type selected: PAN
[2025-04-11 15:15:53,829: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:15:53,831: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:15:53,832: INFO: app]: Face image loaded.
[2025-04-11 15:15:53,834: ERROR: app]: No face image uploaded.
[2025-04-11 15:16:04,498: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:16:04,500: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:16:04,505: INFO: app]: ID card type selected: PAN
[2025-04-11 15:16:04,506: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:16:04,520: INFO: app]: Face image loaded.
[2025-04-11 15:16:04,540: INFO: app]: ID card image loaded.
[2025-04-11 15:16:04,547: INFO: preprocess]: contours are found at, (0, 0, 1112, 684)
[2025-04-11 15:16:04,547: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/contour_id.jpeg
[2025-04-11 15:16:04,554: INFO: app]: ID card ROI extracted.
[2025-04-11 15:16:04,792: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
[2025-04-11 15:16:04,795: INFO: preprocess]: Image saved successfully: data/02_intermediate_data/face_image.jpg
[2025-04-11 15:16:04,796: INFO: app]: Faces extracted and saved.
[2025-04-11 15:16:04,796: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
[2025-04-11 15:16:04,796: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/extacted_face.jpg
[2025-04-11 15:16:05,116: INFO: app]: Face verification status: successful.
[2025-04-11 15:16:05,116: INFO: ocr_engine]: Text Extraction Started...
[2025-04-11 15:16:05,117: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-04-11 15:16:08,137: INFO: ocr_engine]: Inside Try-Catch...
[2025-04-11 15:16:16,607: INFO: app]: Text extracted and information parsed from ID card.
[2025-04-11 15:18:27,725: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-04-11 15:18:37,792: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-04-11 15:18:37,904: INFO: __init__]: package: mysql.connector.plugins
[2025-04-11 15:18:37,904: INFO: __init__]: plugin_name: caching_sha2_password
[2025-04-11 15:18:37,905: INFO: __init__]: AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
[2025-04-11 15:18:37,949: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:18:37,950: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:18:37,953: INFO: app]: ID card type selected: PAN
[2025-04-11 15:18:37,955: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:18:47,016: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:18:47,017: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:18:47,019: INFO: app]: ID card type selected: AADHAR
[2025-04-11 15:18:51,862: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:18:51,863: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:18:51,865: INFO: app]: ID card type selected: AADHAR
[2025-04-11 15:18:55,380: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:18:55,382: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:18:55,385: INFO: app]: ID card type selected: PAN
[2025-04-11 15:18:55,386: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:19:02,248: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:19:02,250: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:19:02,251: INFO: app]: ID card type selected: AADHAR
[2025-04-11 15:22:55,347: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:22:55,350: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:22:55,353: INFO: app]: ID card type selected: PAN
[2025-04-11 15:22:55,354: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:23:27,851: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:23:27,851: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:23:27,854: INFO: app]: ID card type selected: PAN
[2025-04-11 15:23:27,855: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:23:27,857: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:23:27,857: INFO: app]: Face image loaded.
[2025-04-11 15:23:27,858: ERROR: app]: No face image uploaded.
[2025-04-11 15:23:37,660: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:23:37,662: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:23:37,663: INFO: app]: ID card type selected: PAN
[2025-04-11 15:23:37,664: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:23:37,679: INFO: app]: Face image loaded.
[2025-04-11 15:23:37,711: INFO: app]: ID card image loaded.
[2025-04-11 15:23:37,731: INFO: preprocess]: contours are found at, (6, 2, 929, 592)
[2025-04-11 15:23:37,739: INFO: app]: ID card ROI extracted.
[2025-04-11 15:23:38,175: INFO: preprocess]: Image saved successfully: data/02_intermediate_data/face_image.jpg
[2025-04-11 15:23:38,175: INFO: app]: Faces extracted and saved.
[2025-04-11 15:23:38,175: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
